t,theta_rad,theta_deg,q,delta_e
6.63,0.11512,6.59588,-2.24772e-06,0.237869
6.64,0.11512,6.59588,-2.21579e-06,0.237869
6.65,0.11512,6.59587,-2.1837e-06,0.237869
6.66,0.11512,6.59587,-2.15147e-06,0.237869
6.67,0.11512,6.59587,-2.11912e-06,0.237869
6.68,0.11512,6.59587,-2.08667e-06,0.237869
6.69,0.11512,6.59587,-2.05416e-06,0.237869
6.7,0.11512,6.59587,-2.0216e-06,0.237869
6.71,0.11512,6.59587,-1.98902e-06,0.237869
6.72,0.11512,6.59587,-1.95643e-06,0.237869
6.73,0.11512,6.59587,-1.92386e-06,0.237869
6.74,0.11512,6.59586,-1.89133e-06,0.237869
6.75,0.11512,6.59586,-1.85885e-06,0.237869
6.76,0.11512,6.59586,-1.82644e-06,0.237869
6.77,0.115119,6.59586,-1.79413e-06,0.237869
6.78,0.115119,6.59586,-1.76192e-06,0.237869
6.79,0.115119,6.59586,-1.72983e-06,0.237869
6.8,0.115119,6.59586,-1.69789e-06,0.237869
6.81,0.115119,6.59586,-1.66609e-06,0.237869
6.82,0.115119,6.59586,-1.63446e-06,0.237869
6.83,0.115119,6.59585,-1.60302e-06,0.237869
6.84,0.115119,6.59585,-1.57176e-06,0.237869
6.85,0.115119,6.59585,-1.54071e-06,0.237869
6.86,0.115119,6.59585,-1.50988e-06,0.237869
6.87,0.115119,6.59585,-1.47927e-06,0.237869
6.88,0.115119,6.59585,-1.4489e-06,0.237869
6.89,0.115119,6.59585,-1.41878e-06,0.237869
6.9,0.115119,6.59585,-1.38891e-06,0.237868
6.91,0.115119,6.59585,-1.35931e-06,0.237868
6.92,0.115119,6.59585,-1.32998e-06,0.237868
6.93,0.115119,6.59585,-1.30094e-06,0.237868
6.94,0.115119,6.59585,-1.27218e-06,0.237868
6.95,0.115119,6.59585,-1.24372e-06,0.237868
6.96,0.115119,6.59584,-1.21556e-06,0.237868
6.97,0.115119,6.59584,-1.18771e-06,0.237868
6.98,0.115119,6.59584,-1.16018e-06,0.237868
6.99,0.115119,6.59584,-1.13296e-06,0.237868
7,0.115119,6.59584,-1.10607e-06,0.237868
7.01,0.115119,6.59584,-1.0795e-06,0.237868
7.02,0.115119,6.59584,-1.05327e-06,0.237868
7.03,0.115119,6.59584,-1.02737e-06,0.237868
7.04,0.115119,6.59584,-1.00182e-06,0.237868
7.05,0.115119,6.59584,-9.76603e-07,0.237868
7.06,0.115119,6.59584,-9.51735e-07,0.237868
7.07,0.115119,6.59584,-9.27214e-07,0.237868
7.08,0.115119,6.59584,-9.03043e-07,0.237868
7.09,0.115119,6.59584,-8.79224e-07,0.237868
7.1,0.115119,6.59584,-8.55757e-07,0.237868
7.11,0.115119,6.59584,-8.32645e-07,0.237868
7.12,0.115119,6.59584,-8.09888e-07,0.237868
7.13,0.115119,6.59583,-7.87486e-07,0.237868
7.14,0.115119,6.59583,-7.65441e-07,0.237868
7.15,0.115119,6.59583,-7.43753e-07,0.237868
7.16,0.115119,6.59583,-7.22421e-07,0.237868
7.17,0.115119,6.59583,-7.01446e-07,0.237868
7.18,0.115119,6.59583,-6.80826e-07,0.237867
7.19,0.115119,6.59583,-6.60562e-07,0.237867
7.2,0.115119,6.59583,-6.40652e-07,0.237867
7.21,0.115119,6.59583,-6.21095e-07,0.237867
7.22,0.115119,6.59583,-6.0189e-07,0.237867
7.23,0.115119,6.59583,-5.83037e-07,0.237867
7.24,0.115119,6.59583,-5.64532e-07,0.237867
7.25,0.115119,6.59583,-5.46375e-07,0.237867
7.26,0.115119,6.59583,-5.28564e-07,0.237867
7.27,0.115119,6.59583,-5.11096e-07,0.237867
7.28,0.115119,6.59583,-4.9397e-07,0.237867
7.29,0.115119,6.59583,-4.77183e-07,0.237867
7.3,0.115119,6.59583,-4.60733e-07,0.237867
7.31,0.115119,6.59583,-4.44618e-07,0.237867
7.32,0.115119,6.59583,-4.28834e-07,0.237867
7.33,0.115119,6.59583,-4.13379e-07,0.237867
7.34,0.115119,6.59583,-3.9825e-07,0.237867
7.35,0.115119,6.59583,-3.83445e-07,0.237867
7.36,0.115119,6.59583,-3.6896e-07,0.237867
7.37,0.115119,6.59583,-3.54792e-07,0.237867
7.38,0.115119,6.59583,-3.40938e-07,0.237867
7.39,0.115119,6.59583,-3.27394e-07,0.237867
7.4,0.115119,6.59583,-3.14159e-07,0.237867
7.41,0.115119,6.59583,-3.01227e-07,0.237867
7.42,0.115119,6.59583,-2.88595e-07,0.237867
7.43,0.115119,6.59583,-2.76261e-07,0.237867
7.44,0.115119,6.59583,-2.6422e-07,0.237867
7.45,0.115119,6.59583,-2.52469e-07,0.237867
7.46,0.115119,6.59583,-2.41005e-07,0.237867
7.47,0.115119,6.59583,-2.29823e-07,0.237867
7.48,0.115119,6.59583,-2.1892e-07,0.237867
7.49,0.115119,6.59583,-2.08292e-07,0.237867
7.5,0.115119,6.59583,-1.97935e-07,0.237867
7.51,0.115119,6.59583,-1.87845e-07,0.237867
7.52,0.115119,6.59582,-1.7802e-07,0.237867
7.53,0.115119,6.59582,-1.68454e-07,0.237866
7.54,0.115119,6.59582,-1.59144e-07,0.237866
7.55,0.115119,6.59582,-1.50086e-07,0.237866
7.56,0.115119,6.59582,-1.41277e-07,0.237866
7.57,0.115119,6.59582,-1.32711e-07,0.237866
7.58,0.115119,6.59582,-1.24387e-07,0.237866
7.59,0.115119,6.59582,-1.16298e-07,0.237866
7.6,0.115119,6.59582,-1.08442e-07,0.237866
7.61,0.115119,6.59582,-1.00815e-07,0.237866
7.62,0.115119,6.59582,-9.34128e-08,0.237866
7.63,0.115119,6.59582,-8.62313e-08,0.237866
7.64,0.115119,6.59582,-7.92669e-08,0.237866
7.65,0.115119,6.59582,-7.25157e-08,0.237866
7.66,0.115119,6.59582,-6.59738e-08,0.237866
7.67,0.115119,6.59582,-5.96373e-08,0.237866
7.68,0.115119,6.59582,-5.35026e-08,0.237866
7.69,0.115119,6.59582,-4.75657e-08,0.237866
7.7,0.115119,6.59582,-4.18229e-08,0.237866
7.71,0.115119,6.59582,-3.62705e-08,0.237866
7.72,0.115119,6.59582,-3.09046e-08,0.237866
7.73,0.115119,6.59582,-2.57217e-08,0.237866
7.74,0.115119,6.59582,-2.07179e-08,0.237866
7.75,0.115119,6.59582,-1.58898e-08,0.237866
7.76,0.115119,6.59582,-1.12336e-08,0.237866
7.77,0.115119,6.59582,-6.74571e-09,0.237866
7.78,0.115119,6.59582,-2.42263e-09,0.237866
7.79,0.115119,6.59582,1.7392e-09,0.237866
7.8,0.115119,6.59582,5.74326e-09,0.237866
7.81,0.115119,6.59582,9.59303e-09,0.237866
7.82,0.115119,6.59582,1.32919e-08,0.237866
7.83,0.115119,6.59582,1.68434e-08,0.237866
7.84,0.115119,6.59582,2.02507e-08,0.237866
7.85,0.115119,6.59582,2.35172e-08,0.237866
7.86,0.115119,6.59582,2.66461e-08,0.237866
7.87,0.115119,6.59582,2.96408e-08,0.237866
7.88,0.115119,6.59582,3.25045e-08,0.237866
7.89,0.115119,6.59582,3.52402e-08,0.237866
7.9,0.115119,6.59582,3.78511e-08,0.237866
7.91,0.115119,6.59582,4.03403e-08,0.237866
7.92,0.115119,6.59582,4.27109e-08,0.237866
7.93,0.115119,6.59582,4.49658e-08,0.237866
7.94,0.115119,6.59582,4.7108e-08,0.237866
7.95,0.115119,6.59582,4.91404e-08,0.237866
7.96,0.115119,6.59582,5.10659e-08,0.237866
7.97,0.115119,6.59582,5.28873e-08,0.237866
7.98,0.115119,6.59582,5.46075e-08,0.237866
7.99,0.115119,6.59582,5.62291e-08,0.237866
8,0.115119,6.59582,5.77549e-08,0.237866
8.01,0.115119,6.59582,5.91876e-08,0.237866
8.02,0.115119,6.59582,6.05297e-08,0.237866
8.03,0.115119,6.59582,6.17838e-08,0.237866
8.04,0.115119,6.59582,6.29525e-08,0.237866
8.05,0.115119,6.59582,6.40383e-08,0.237866
8.06,0.115119,6.59582,6.50436e-08,0.237866
8.07,0.115119,6.59582,6.59708e-08,0.237866
8.08,0.115119,6.59582,6.68223e-08,0.237866
8.09,0.115119,6.59582,6.76004e-08,0.237866
8.1,0.115119,6.59582,6.83075e-08,0.237866
8.11,0.115119,6.59582,6.89456e-08,0.237866
8.12,0.115119,6.59582,6.95171e-08,0.237866
8.13,0.115119,6.59582,7.00241e-08,0.237866
8.14,0.115119,6.59582,7.04687e-08,0.237866
8.15,0.115119,6.59582,7.0853e-08,0.237866
8.16,0.115119,6.59582,7.1179e-08,0.237866
8.17,0.115119,6.59582,7.14487e-08,0.237866
8.18,0.115119,6.59582,7.1664e-08,0.237866
8.19,0.115119,6.59582,7.1827e-08,0.237866
8.2,0.115119,6.59582,7.19393e-08,0.237866
8.21,0.115119,6.59583,7.2003e-08,0.237866
8.22,0.115119,6.59583,7.20197e-08,0.237866
8.23,0.115119,6.59583,7.19913e-08,0.237866
8.24,0.115119,6.59583,7.19194e-08,0.237866
8.25,0.115119,6.59583,7.18057e-08,0.237866
8.26,0.115119,6.59583,7.16519e-08,0.237866
8.27,0.115119,6.59583,7.14596e-08,0.237866
8.28,0.115119,6.59583,7.12303e-08,0.237866
8.29,0.115119,6.59583,7.09656e-08,0.237866
8.3,0.115119,6.59583,7.0667e-08,0.237866
8.31,0.115119,6.59583,7.03359e-08,0.237866
8.32,0.115119,6.59583,6.99738e-08,0.237866
8.33,0.115119,6.59583,6.95821e-08,0.237866
8.34,0.115119,6.59583,6.9162e-08,0.237866
8.35,0.115119,6.59583,6.8715e-08,0.237866
8.36,0.115119,6.59583,6.82423e-08,0.237866
8.37,0.115119,6.59583,6.77453e-08,0.237866
8.38,0.115119,6.59583,6.7225e-08,0.237866
8.39,0.115119,6.59583,6.66828e-08,0.237866
8.4,0.115119,6.59583,6.61197e-08,0.237866
8.41,0.115119,6.59583,6.55369e-08,0.237866
8.42,0.115119,6.59583,6.49356e-08,0.237866
8.43,0.115119,6.59583,6.43167e-08,0.237866
8.44,0.115119,6.59583,6.36813e-08,0.237866
8.45,0.115119,6.59583,6.30305e-08,0.237866
8.46,0.115119,6.59583,6.23652e-08,0.237866
8.47,0.115119,6.59583,6.16864e-08,0.237866
8.48,0.115119,6.59583,6.0995e-08,0.237866
8.49,0.115119,6.59583,6.02919e-08,0.237866
8.5,0.115119,6.59583,5.95779e-08,0.237866
8.51,0.115119,6.59583,5.8854e-08,0.237866
8.52,0.115119,6.59583,5.8121e-08,0.237866
8.53,0.115119,6.59583,5.73796e-08,0.237866
8.54,0.115119,6.59583,5.66307e-08,0.237866
8.55,0.115119,6.59583,5.58749e-08,0.237866
8.56,0.115119,6.59583,5.5113e-08,0.237866
8.57,0.115119,6.59583,5.43457e-08,0.237866
8.58,0.115119,6.59583,5.35737e-08,0.237866
8.59,0.115119,6.59583,5.27976e-08,0.237866
8.6,0.115119,6.59583,5.20181e-08,0.237866
8.61,0.115119,6.59583,5.12357e-08,0.237866
8.62,0.115119,6.59583,5.04512e-08,0.237866
8.63,0.115119,6.59583,4.96649e-08,0.237866
8.64,0.115119,6.59583,4.88776e-08,0.237866
8.65,0.115119,6.59583,4.80896e-08,0.237866
8.66,0.115119,6.59583,4.73016e-08,0.237866
8.67,0.115119,6.59583,4.6514e-08,0.237866
8.68,0.115119,6.59583,4.57273e-08,0.237866
8.69,0.115119,6.59583,4.49419e-08,0.237866
8.7,0.115119,6.59583,4.41583e-08,0.237866
8.71,0.115119,6.59583,4.33769e-08,0.237866
8.72,0.115119,6.59583,4.25981e-08,0.237866
8.73,0.115119,6.59583,4.18223e-08,0.237866
8.74,0.115119,6.59583,4.10498e-08,0.237866
8.75,0.115119,6.59583,4.02809e-08,0.237866
8.76,0.115119,6.59583,3.95162e-08,0.237866
8.77,0.115119,6.59583,3.87558e-08,0.237866
8.78,0.115119,6.59583,3.8e-08,0.237866
8.79,0.115119,6.59583,3.72492e-08,0.237866
8.8,0.115119,6.59583,3.65036e-08,0.237866
8.81,0.115119,6.59583,3.57635e-08,0.237866
8.82,0.115119,6.59583,3.50292e-08,0.237866
8.83,0.115119,6.59583,3.43008e-08,0.237866
8.84,0.115119,6.59583,3.35787e-08,0.237866
8.85,0.115119,6.59583,3.28629e-08,0.237866
8.86,0.115119,6.59583,3.21538e-08,0.237866
8.87,0.115119,6.59583,3.14515e-08,0.237866
8.88,0.115119,6.59583,3.07562e-08,0.237866
8.89,0.115119,6.59583,3.00681e-08,0.237866
8.9,0.115119,6.59583,2.93872e-08,0.237866
8.91,0.115119,6.59583,2.87139e-08,0.237866
8.92,0.115119,6.59583,2.80481e-08,0.237866
8.93,0.115119,6.59583,2.739e-08,0.237866
8.94,0.115119,6.59583,2.67398e-08,0.237866
8.95,0.115119,6.59583,2.60975e-08,0.237866
8.96,0.115119,6.59583,2.54632e-08,0.237866
8.97,0.115119,6.59583,2.48371e-08,0.237866
8.98,0.115119,6.59583,2.42192e-08,0.237866
8.99,0.115119,6.59583,2.36096e-08,0.237866
9,0.115119,6.59583,2.30083e-08,0.237866
9.01,0.115119,6.59583,2.24154e-08,0.237866
9.02,0.115119,6.59583,2.1831e-08,0.237866
9.03,0.115119,6.59583,2.12551e-08,0.237866
9.04,0.115119,6.59583,2.06877e-08,0.237866
9.05,0.115119,6.59583,2.01289e-08,0.237866
9.06,0.115119,6.59583,1.95787e-08,0.237866
9.07,0.115119,6.59583,1.90371e-08,0.237866
9.08,0.115119,6.59583,1.85041e-08,0.237866
9.09,0.115119,6.59583,1.79797e-08,0.237866
9.1,0.115119,6.59583,1.7464e-08,0.237866
9.11,0.115119,6.59583,1.69568e-08,0.237866
9.12,0.115119,6.59583,1.64583e-08,0.237866
9.13,0.115119,6.59583,1.59684e-08,0.237866
9.14,0.115119,6.59583,1.5487e-08,0.237866
9.15,0.115119,6.59583,1.50142e-08,0.237866
9.16,0.115119,6.59583,1.45499e-08,0.237866
9.17,0.115119,6.59583,1.40941e-08,0.237866
9.18,0.115119,6.59583,1.36467e-08,0.237866
9.19,0.115119,6.59583,1.32077e-08,0.237866
9.2,0.115119,6.59583,1.27771e-08,0.237866
9.21,0.115119,6.59583,1.23548e-08,0.237866
9.22,0.115119,6.59583,1.19407e-08,0.237866
9.23,0.115119,6.59583,1.15349e-08,0.237866
9.24,0.115119,6.59583,1.11371e-08,0.237866
9.25,0.115119,6.59583,1.07475e-08,0.237866
9.26,0.115119,6.59583,1.03659e-08,0.237866
9.27,0.115119,6.59583,9.99229e-09,0.237866
9.28,0.115119,6.59583,9.62654e-09,0.237866
9.29,0.115119,6.59583,9.2686e-09,0.237866
9.3,0.115119,6.59583,8.9184e-09,0.237866
9.31,0.115119,6.59583,8.57588e-09,0.237866
9.32,0.115119,6.59583,8.24094e-09,0.237866
9.33,0.115119,6.59583,7.91352e-09,0.237866
9.34,0.115119,6.59583,7.59353e-09,0.237866
9.35,0.115119,6.59583,7.28089e-09,0.237866
9.36,0.115119,6.59583,6.97552e-09,0.237866
9.37,0.115119,6.59583,6.67733e-09,0.237866
9.38,0.115119,6.59583,6.38624e-09,0.237866
9.39,0.115119,6.59583,6.10216e-09,0.237866
9.4,0.115119,6.59583,5.825e-09,0.237866
9.41,0.115119,6.59583,5.55467e-09,0.237866
9.42,0.115119,6.59583,5.29108e-09,0.237866
9.43,0.115119,6.59583,5.03414e-09,0.237866
9.44,0.115119,6.59583,4.78377e-09,0.237866
9.45,0.115119,6.59583,4.53986e-09,0.237866
9.46,0.115119,6.59583,4.30233e-09,0.237866
9.47,0.115119,6.59583,4.07107e-09,0.237866
9.48,0.115119,6.59583,3.84601e-09,0.237866
9.49,0.115119,6.59583,3.62704e-09,0.237866
9.5,0.115119,6.59583,3.41407e-09,0.237866
9.51,0.115119,6.59583,3.20701e-09,0.237866
9.52,0.115119,6.59583,3.00576e-09,0.237866
9.53,0.115119,6.59583,2.81023e-09,0.237866
9.54,0.115119,6.59583,2.62032e-09,0.237866
9.55,0.115119,6.59583,2.43594e-09,0.237866
9.56,0.115119,6.59583,2.257e-09,0.237866
9.57,0.115119,6.59583,2.08339e-09,0.237866
9.58,0.115119,6.59583,1.91504e-09,0.237866
9.59,0.115119,6.59583,1.75183e-09,0.237866
9.6,0.115119,6.59583,1.59369e-09,0.237866
9.61,0.115119,6.59583,1.44052e-09,0.237866
9.62,0.115119,6.59583,1.29222e-09,0.237866
9.63,0.115119,6.59583,1.14871e-09,0.237866
9.64,0.115119,6.59583,1.00988e-09,0.237866
9.65,0.115119,6.59583,8.75665e-10,0.237866
9.66,0.115119,6.59583,7.45957e-10,0.237866
9.67,0.115119,6.59583,6.20671e-10,0.237866
9.68,0.115119,6.59583,4.99718e-10,0.237866
9.69,0.115119,6.59583,3.83009e-10,0.237866
9.7,0.115119,6.59583,2.70458e-10,0.237866
9.71,0.115119,6.59583,1.61976e-10,0.237866
9.72,0.115119,6.59583,5.74784e-11,0.237866
9.73,0.115119,6.59583,-4.31207e-11,0.237866
9.74,0.115119,6.59583,-1.39906e-10,0.237866
9.75,0.115119,6.59583,-2.32961e-10,0.237866
9.76,0.115119,6.59583,-3.22368e-10,0.237866
9.77,0.115119,6.59583,-4.0821e-10,0.237866
9.78,0.115119,6.59583,-4.90568e-10,0.237866
9.79,0.115119,6.59583,-5.69522e-10,0.237866
9.8,0.115119,6.59583,-6.45151e-10,0.237866
9.81,0.115119,6.59583,-7.17534e-10,0.237866
9.82,0.115119,6.59583,-7.86748e-10,0.237866
9.83,0.115119,6.59583,-8.5287e-10,0.237866
9.84,0.115119,6.59583,-9.15975e-10,0.237866
9.85,0.115119,6.59583,-9.76138e-10,0.237866
9.86,0.115119,6.59583,-1.03343e-09,0.237866
9.87,0.115119,6.59583,-1.08793e-09,0.237866
9.88,0.115119,6.59583,-1.1397e-09,0.237866
9.89,0.115119,6.59583,-1.18882e-09,0.237866
9.9,0.115119,6.59583,-1.23536e-09,0.237866
9.91,0.115119,6.59583,-1.27938e-09,0.237866
9.92,0.115119,6.59583,-1.32095e-09,0.237866
9.93,0.115119,6.59583,-1.36014e-09,0.237866
9.94,0.115119,6.59583,-1.39701e-09,0.237866
9.95,0.115119,6.59583,-1.43163e-09,0.237866
9.96,0.115119,6.59583,-1.46406e-09,0.237866
9.97,0.115119,6.59583,-1.49436e-09,0.237866
9.98,0.115119,6.59583,-1.5226e-09,0.237866
9.99,0.115119,6.59583,-1.54884e-09,0.237866
10,0.115119,6.59583,-1.57313e-09,0.237866
